snapped_at,price,market_cap,total_volume
28/04/2013 00:00,135.3,1500517590,0
29/04/2013 00:00,141.96,1575032004,0
30/04/2013 00:00,135.3,1501657493,0
01/05/2013 00:00,117,1298951550,0
02/05/2013 00:00,103.43,1148667722,0
03/05/2013 00:00,91.01,1011066494,0
04/05/2013 00:00,111.25,1236351844,0
05/05/2013 00:00,116.79,1298377788,0
06/05/2013 00:00,118.33,1315992304,0
07/05/2013 00:00,106.4,1183766500,0
08/05/2013 00:00,112.64,1253655040,0
09/05/2013 00:00,113,1258130700,0
10/05/2013 00:00,118.78,1322989457,0
11/05/2013 00:00,113.01,1259239352,0
12/05/2013 00:00,114.713,1278708679,0
13/05/2013 00:00,117.18,1306721052,0
14/05/2013 00:00,114.5,1277278988,0
15/05/2013 00:00,114.156,1273849681,0
16/05/2013 00:00,115.5,1289277412,0
17/05/2013 00:00,123.1,1374605382,0
18/05/2013 00:00,123.88,1383755085,0
19/05/2013 00:00,120.501,1346499262,0
20/05/2013 00:00,122.58,1370131821,0
21/05/2013 00:00,122.9,1374154118,0
22/05/2013 00:00,123,1375791900,0
23/05/2013 00:00,125.748,1407041528,0
24/05/2013 00:00,131.7,1474180657,0
25/05/2013 00:00,130.77,1464316690,0
26/05/2013 00:00,134.6,1507769010,0
27/05/2013 00:00,128.985,1445444606,0
28/05/2013 00:00,129.179,1448115967,0
29/05/2013 00:00,132.13,1481781795,0
30/05/2013 00:00,127.401,1429308634,0
31/05/2013 00:00,127.98,1436386730,0
01/06/2013 00:00,129.09,1449499974,0
02/06/2013 00:00,121.3,1362684200,0
03/06/2013 00:00,121.16,1361765704,0
05/06/2013 00:00,121.309,1364113640,0
06/06/2013 00:00,121.714,1369233814,0
07/06/2013 00:00,119,1339234925,0
08/06/2013 00:00,110.09,1239395972,0
09/06/2013 00:00,108.401,1220874393,0
10/06/2013 00:00,99.7497,1123844958,0
11/06/2013 00:00,105.99,1194605341,0
12/06/2013 00:00,108.9,1227904672,0
13/06/2013 00:00,108.4,1222819750,0
14/06/2013 00:00,102.769,1159766150,0
15/06/2013 00:00,98.399,1110902570,0
16/06/2013 00:00,99.99,1129287060,0
17/06/2013 00:00,100.42,1134610433,0
18/06/2013 00:00,102,1152834600,0
