snapped_at,price,market_cap,total_volume
1,42208.202176186474,827596236151.1959,14183728910.169804
2,44168.68118687473,863804922701.8125,16958999497.58364
3,44994.67388689237,878395004792.8407,39089952715.542786
4,42821.558989157995,838208392904.1771,43146162597.56747
5,44195.57856209971,866352960236.8643,26123887042.79777
6,44113.69973389081,863690851062.0247,29364675804.010384
7,43956.12071720152,861211168830.4689,11841102132.239353
8,43883.74387905174,856926317087.4954,15144653805.362787
9,46936.185561217506,919666641903.4098,40821502383.50064
10,46105.94607828697,902166917320.3264,39887918405.77868
11,46632.31314804979,915259343942.0361,52030057180.57072
12,46314.355541602694,909846384596.2129,49198128806.306175
13,42893.92960550481,838383512176.7352,45913301456.05085
14,42848.47451640749,839198740717.084,19424747840.478386
15,41800.93282193406,822907066751.3778,16968959097.076523
16,42587.336038354406,835225973285.8562,22634527323.56315
17,43148.00164342693,845770850849.578,22023116042.275295
18,42713.859186938986,836987995502.6503,21299064875.187115
19,41261.39479801012,808845819110.2808,25160430945.289833
20,41600.94093254464,815241536115.3193,24407872954.726807
21,41626.10711003664,817217622403.9753,9533488489.00503
22,41541.89945706261,814709364023.4832,8032696833.695371
23,39504.73005758438,775020895102.2928,31202848830.101707
24,39833.45410501688,779133357029.7626,29683327703.0343
25,40123.67105847147,786928905377.1826,22217129215.385582
26,39938.28644155878,783180536824.566,13376924612.77818
27,41862.9356109399,820989861818.084,22681602408.52447
28,42119.61049464309,826254540126.2368,10694258830.371908
29,42026.57856232145,824240091063.3245,13669905344.783924
30,43267.60927638767,849198976216.4734,20680322267.003654
31,42892.03453014447,839294111912.5715,24526664209.358597
32,42583.26354663417,835421372330.6442,22197944957.07849
33,43069.043420936796,844585195327.6586,22443682768.722225
34,43170.65856159975,846561992602.431,18624791426.130833
35,42976.84829990829,842668526994.8004,7779819312.310763
36,42599.35997055978,835416357159.2295,11250814654.362
37,42648.45692113544,836630860392.2917,18682275991.626797
38,43087.78740814285,845393687725.6221,17131113853.23615
39,44247.415415479314,868672050077.7697,21200879624.73537
40,45338.271189789484,890468166608.419,27709605138.49859
41,47143.24299107112,925541926938.6151,41993952311.122856
42,47768.995251247936,938210772985.4427,16461159742.317774
43,48189.88179303987,945579645769.01,13196875460.84672
44,50050.13609456397,981463410832.9637,37684440686.70893
45,49732.14536955351,974585308372.1277,37331081151.024765
46,51790.16929752642,1017596576729.7906,41805076939.80903
47,51958.23029105492,1020725811639.5323,31991869491.056656
48,52166.43430976192,1024019280535.48,24850432117.896576
49,51684.51749264525,1015778284418.9253,19851884283.15723
50,52138.48578873693,1023586119011.2284,17025880430.565874
51,51764.313185487765,1016146442771.5667,22555121071.55909
52,52286.79372554667,1026424315285.75,34499627551.319275
53,51842.75676625642,1018869881156.3213,30624246621.0974
54,51319.500125702674,1007314397269.4122,23733644208.80861
55,50841.081094770896,999139504635.63,22637679779.740997
56,51553.096712831146,1012485917140.1924,15528276123.53668
57,51751.884054934555,1016549456019.3263,15455098216.48263
58,54478.191083122954,1071049856128.8474,35407941475.56789
59,57003.52673730811,1118963733317.3013,51983799587.1939
60,62558.589311,12252738.6978,87218855804.01622
61,61298.216861101624,1206725326872.1362,67692687247.36391
62,62426.64052919186,1227712629022.1812,36699193361.155365
63,62067.86680212177,1219383305483.4985,25198213831.25236
64,63053.10543906421,1236312176673.4497,27108369390.44353
65,68186.64593432152,1333913436699.1726,74551714626.1156
66,64291.536557569496,1264870242318.5977,96403762012.66058
67,66145.91927850846,1297845751759.601,73151905042.04068
68,66944.87639053575,1317508010581.0813,48853892626.0196
69,68315.25192078314,1340971395884.519,63346588227.32869
70,68508.0039626159,1346027264110.4956,21359706190.81524
71,69075.66688195744,1357390358031.5388,36660543917.16198
72,72130.55300765681,1417772589113.9521,66653067165.93465
73,71467.17350326062,1403692914139.1924,64599341551.27301
74,73097.76702694128,1436631290571.5388,51906601043.53671
75,71420.03180142345,1403843488135.24,63073551321.74747
76,69497.7631929463,1367669237527.8738,81204427005.22603
77,65292.31329331289,1282404282863.459,49265436012.59228
78,68425.41565643054,1344508983079.8567,47190980586.56393
79,67708.94360930806,1331771923948.0378,51101822566.75771
80,62132.51737873437,1223867418062.399,80179417876.47993
81,67819.05570684028,1332594162507.5205,70836803714.91411
82,65535.97844847657,1287348061971.4202,48393664548.05336
83,63509.04496523133,1247366367469.2778,42436600223.53738
84,64285.80279102199,1264722355270.5166,25489933245.687557
85,67310.98326810106,1323456466317.511,28098318940.431744
86,69938.94530200244,1371797489739.3416,44820310272.647514
87,70082.05122475982,1375728580463.2524,36257324508.56845
88,69435.75040305211,1360261687784.1018,41441040887.822266
89,70710.19534863312,1390869723348.0437,30455289338.47621
90,69919.05546148612,1374646886107.8396,25785951735.485695
91,69702.3087473573,1370247487960.0945,16408802301.837431
92,71246.95144060145,1401370211582.3662,19723005998.21497
93,69785.92503802372,1373784286061.3486,36040088988.53872
94,65440.41922587159,1288360536576.547,45161133992.09071
95,66123.938539074,1301670235623.7266,35559952961.797325
